"campaign_id","campaign_name","ad_item_id","ad_item_name","ad_type","creative_id","creative_name","ad_tag","slot_type","ad_size","page_type","ad_item_keyword_type","ad_item_keywords","ad_item_categories","ad_item_all_categories","creative_keyword_type","creative_keywords","creative_categories","creative_all_categories"
"11369","NO EDIT (PLEASE DON'T!)","22920","NO_EDIT_FIXED","NATIVE_FIXED","21351","NO_EDIT_FIXED","petco/[noedit]-q1_25_fixed/category/native-fixed/native-fixed/desktop","NATIVE_FIXED","NATIVE_FIXED","CATEGORY","BROAD_MATCH","{""Bird Food & Treats"",""Bird Treats"",""Bird Food""}","{81503,10009,10144}","{81503,10009,10144,10001}",NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","22920","NO_EDIT_FIXED","NATIVE_FIXED","21861","Native fixed creative test","petco/[noedit]-q1_25_fixed/category/native-fixed/native-fixed/desktop","NATIVE_FIXED","NATIVE_FIXED","CATEGORY","BROAD_MATCH","{""Bird Food & Treats"",""Bird Treats"",""Bird Food""}","{81503,10009,10144}","{81503,10009,10144,10001}","BROAD_MATCH",NULL,"{}",NULL
"11369","NO EDIT (PLEASE DON'T!)","22920","NO_EDIT_FIXED","NATIVE_FIXED","21862","Native fixed creative with product","petco/[noedit]-q1_25_fixed/category/native-fixed/native-fixed/desktop","NATIVE_FIXED","NATIVE_FIXED","CATEGORY","BROAD_MATCH","{""Bird Food & Treats"",""Bird Treats"",""Bird Food""}","{81503,10009,10144}","{81503,10009,10144,10001}","BROAD_MATCH",NULL,"{}",NULL
"11369","NO EDIT (PLEASE DON'T!)","22921","NO_EDIT_DYNAMIC","NATIVE_DYNAMIC","21352","NO_EDIT_DYNAMIC","petco/[noedit]-q1_25_dynamic_search/searchpage/native-dynamic/native-dynamic/desktop","NATIVE_DYNAMIC","NATIVE_DYNAMIC","SEARCHPAGE","EXACT_MATCH","{Search,""Interactive Bird Sounds""}",NULL,NULL,NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","22921","NO_EDIT_DYNAMIC","NATIVE_DYNAMIC","21637","New Testing","petco/[noedit]-q1_25_dynamic_search/searchpage/native-dynamic/native-dynamic/desktop","NATIVE_DYNAMIC","NATIVE_DYNAMIC","SEARCHPAGE","EXACT_MATCH","{Search,""Interactive Bird Sounds""}",NULL,NULL,NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","22921","NO_EDIT_DYNAMIC","NATIVE_DYNAMIC","21832","Automation Campaign","petco/[noedit]-q1_25_dynamic_search/searchpage/native-dynamic/native-dynamic/desktop","NATIVE_DYNAMIC","NATIVE_DYNAMIC","SEARCHPAGE","EXACT_MATCH","{Search,""Interactive Bird Sounds""}",NULL,NULL,"BROAD_MATCH",NULL,"{}",NULL
"11369","NO EDIT (PLEASE DON'T!)","22922","Test_PRODUCT","PRODUCT","21353","NO_EDIT_PRODUCT","petco/[noedit]-q1_25_product/category/product/product/desktop","PRODUCT","PRODUCT","CATEGORY","BROAD_MATCH",NULL,"{10025}","{10025,10002}",NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","22964","NO_EDIT_VIDEO","VIDEO","21362","NO_EDIT_VIDEO","petco/[noedit]-q1_25_video_search/searchpage/video/video/desktop","VIDEO","VIDEO","SEARCHPAGE","EXACT_MATCH","{""Dog Perfume Spray""}",NULL,NULL,NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","22965","NO_EDIT_DISPLAY","DISPLAY","21368","NO_EDIT_DISPLAY","petco/[noedit]-q1_25_display_search/searchpage/display/10x10/desktop","DISPLAY","10x10","SEARCHPAGE","PHRASE_MATCH","{""Semantic Search""}",NULL,NULL,NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","23533","Keyword & Category","PRODUCT","21628","Keyword & Category","petco/no_edit_product_search/searchpage/product/product/desktop","PRODUCT","PRODUCT","SEARCHPAGE","PHRASE_MATCH","{""peace finds"",""Minds wander"",""hope taken"",""healthy cat food"",""birds sing"",""night falls"",""world sleepens."",""sun climbs"",""time listens"",""leaves dance"",""Thoughts settle"",dogs,""Wind whispers"",""souls dream"",""day awakens"",""Dawn breaks"",""silence deepens"",""hearts beat""}","{3074457345616977174,3074457345617165169,10191,10051,3074457345616921171,10338,3074457345616967176,3074457345616945168,3074457345616885668,10198,10351,3074457345617046211,3074457345616986172,3074457345616912169,39002,103002,3074457345617176169,3074457345617107668,10307,122018,3074457345616882168,3074457345616908184,10043,3074457345616912175,10002,3074457345617005172,3074457345616878670,3074457345616945170,10003,3074457345616857196,10049,10027,3074457345616919668,3074457345617025200,3074457345617025189}","{3074457345616977174,3074457345617165169,10191,10051,3074457345616921171,10338,3074457345616967176,3074457345616945168,3074457345616885668,10198,10351,3074457345617046211,3074457345616986172,3074457345616912169,39002,103002,3074457345617176169,3074457345617107668,10307,122018,3074457345616882168,3074457345616908184,10043,3074457345616912175,10002,3074457345617005172,3074457345616878670,3074457345616945170,10003,3074457345616857196,10049,10027,3074457345616919668,3074457345617025200,3074457345617025189}",NULL,NULL,NULL,NULL
"11369","NO EDIT (PLEASE DON'T!)","23533","Keyword & Category","PRODUCT","21628","Keyword & Category","petco/[noedit]-q1_25_product/category/product/product/desktop","PRODUCT","PRODUCT","CATEGORY","PHRASE_MATCH","{""peace finds"",""Minds wander"",""hope taken"",""healthy cat food"",""birds sing"",""night falls"",""world sleepens."",""sun climbs"",""time listens"",""leaves dance"",""Thoughts settle"",dogs,""Wind whispers"",""souls dream"",""day awakens"",""Dawn breaks"",""silence deepens"",""hearts beat""}","{3074457345616977174,3074457345617165169,10191,10051,3074457345616921171,10338,3074457345616967176,3074457345616945168,3074457345616885668,10198,10351,3074457345617046211,3074457345616986172,3074457345616912169,39002,103002,3074457345617176169,3074457345617107668,10307,122018,3074457345616882168,3074457345616908184,10043,3074457345616912175,10002,3074457345617005172,3074457345616878670,3074457345616945170,10003,3074457345616857196,10049,10027,3074457345616919668,3074457345617025200,3074457345617025189}","{3074457345616977174,3074457345617165169,10191,10051,3074457345616921171,10338,3074457345616967176,3074457345616945168,3074457345616885668,10198,10351,3074457345617046211,3074457345616986172,3074457345616912169,39002,103002,3074457345617176169,3074457345617107668,10307,122018,3074457345616882168,3074457345616908184,10043,3074457345616912175,10002,3074457345617005172,3074457345616878670,3074457345616945170,10003,3074457345616857196,10049,10027,3074457345616919668,3074457345617025200,3074457345617025189}",NULL,NULL,NULL,NULL